month,prop_cases,ref
April,0.04012445,Unpublished study data from Johannesen et al. 0-2 years
May,0.01193005,Unpublished study data from Johannesen et al. 0-2 years
June,0.006565819,Unpublished study data from Johannesen et al. 0-2 years
July,0.005106748,Unpublished study data from Johannesen et al. 0-2 years
August,0.001223045,Unpublished study data from Johannesen et al. 0-2 years
September,0.001909666,Unpublished study data from Johannesen et al. 0-2 years
October,0.006372707,Unpublished study data from Johannesen et al. 0-2 years
November,0.060186675,Unpublished study data from Johannesen et al. 0-2 years
December,0.229696385,Unpublished study data from Johannesen et al. 0-2 years
January,0.277502414,Unpublished study data from Johannesen et al. 0-2 years
February,0.232013732,Unpublished study data from Johannesen et al. 0-2 years
March,0.127368308,Unpublished study data from Johannesen et al. 0-2 years
